17:00:21 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782235,\n"message":{"message_id":111,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634420,"text":"ad"}}]}'"
17:00:21 | DEBUG | start_polling: 395 | Received 1 updates.
17:00:21 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': 'ad'}" and files "None"
17:00:21 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782236, 'timeout': 20}" and files "None"
17:00:21 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":112,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634420,"text":"ad"}}'"
17:00:21 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":113,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634421,"text":"ad"}}'"
17:00:22 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782236,\n"message":{"message_id":114,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634422,"text":"ada"}}]}'"
17:00:22 | DEBUG | start_polling: 395 | Received 1 updates.
17:00:22 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': 'ada'}" and files "None"
17:00:22 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782237, 'timeout': 20}" and files "None"
17:00:22 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":115,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634422,"text":"ada"}}'"
17:00:26 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782237,\n"message":{"message_id":116,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634426,"text":"x"}}]}'"
17:00:26 | DEBUG | start_polling: 395 | Received 1 updates.
17:00:26 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': 'x'}" and files "None"
17:00:26 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782238, 'timeout': 20}" and files "None"
17:00:26 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":117,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634426,"text":"x"}}'"
17:00:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782238,\n"message":{"message_id":118,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634427,"text":"\\\\"}}]}'"
17:00:27 | DEBUG | start_polling: 395 | Received 1 updates.
17:00:27 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '\\'}" and files "None"
17:00:27 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:00:27 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":119,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657634427,"text":"\\\\"}}'"
17:00:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:00:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:01:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:01:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:01:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:01:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:01:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:01:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:02:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:02:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:02:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:02:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:02:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:02:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:03:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:03:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:03:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:03:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:03:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:03:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:04:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:04:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:04:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:04:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
17:04:50 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:04:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782239, 'timeout': 20}" and files "None"
13:54:49 | DEBUG | __init__: 623 | Using proactor: IocpProactor
13:54:49 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
13:54:49 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
13:54:49 | INFO | _welcome: 362 | Bot: test [@test_Dorty_bot]
13:54:49 | INFO | start_polling: 358 | Start polling.
13:54:49 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
13:54:49 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":3}}'"
13:54:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
